Slang,Meaning,Origin
"lit","Exciting or excellent","African American Vernacular English, 2010s"
"chuffed","Pleased or delighted","UK, 19th century"
"arvo","Afternoon","Australia, 1920s"
"hoser","A foolish person","Canada, 1980s"
"lekker","Great or enjoyable","South Africa, Afrikaans"
"desi","Relating to South Asian culture","India, Hindi/Urdu"
"slay","To do something exceptionally well","African American Vernacular English, drag culture"
"tea","Gossip or juicy information","African American Vernacular English, 1990s"
"salty","Upset or bitter","USA, naval slang, early 20th century"
"ghost","To stop communicating suddenly","Internet culture, 2010s"
"flex","To show off","Hip-hop culture, 1990s"
"bet","Agreement or affirmation","African American Vernacular English, 1980s"
"clout","Influence or popularity","Hip-hop culture, 2010s"
"yeet","To throw forcefully or express excitement","Internet meme culture, 2014"
"drip","Stylish appearance","Hip-hop culture, 2010s"
"stan","Obsessive fan","Eminem’s song 'Stan,' 2000"
"lowkey","Secretly or discreetly","African American Vernacular English, 2000s"
"highkey","Openly or obviously","African American Vernacular English, 2000s"
"cap","A lie or exaggeration","Hip-hop culture, 1980s"
"bussin","Really good, especially food","African American Vernacular English, 2010s"
"extra","Over the top or excessive","USA, 1980s"
"shade","A subtle insult","African American Vernacular English, drag culture, 1980s"
"fomo","Fear of missing out","Internet culture, 2010s"
"sksksk","Expression of laughter or excitement","Internet meme culture, 2010s"
"vibe","Mood or atmosphere","USA, 1960s counterculture"
"knackered","Exhausted","UK, 19th century"
"bogan","An uncultured person","Australia, 1980s"
"toque","A knit cap","Canada, French influence"
"jol","A party or good time","South Africa, Afrikaans"
"filmi","Overly dramatic","India, Bollywood influence"
"savage","Brutally honest or fierce","Internet culture, 2010s"
"noob","A beginner or inexperienced person","Gaming culture, 2000s"
"chur","Thanks or awesome","New Zealand, Maori influence"
"banter","Playful teasing","UK, 19th century"
"dude","A person, often male","USA, 19th century"
"aggro","Aggressive or angry","Australia, 1960s"
"eh","Seeking agreement or confirmation","Canada, 20th century"
"braai","Barbecue","South Africa, Afrikaans"
"timepass","Killing time","India, 20th century"
"rizz","Charisma or flirting skill","Internet culture, 2020s"
"sus","Suspicious","Gaming culture, 2010s"
"sweet as","Great or awesome","New Zealand, 20th century"
"bloke","A man","UK, 19th century"
"heaps","A lot","Australia/New Zealand, 19th century"
"keener","An overly enthusiastic person","Canada, 20th century"
"howzit","Hello or how’s it going","South Africa, 20th century"
"masala","Spice or drama","India, Hindi"
"woke","Socially aware","African American Vernacular English, 2010s"
"clapback","A quick retort","Internet culture, 2010s"
"mint","Excellent or perfect","UK, 20th century"
"ace","Great or excellent","UK, early 20th century"
"barbie","Barbecue","Australia, 1970s"
"toonie","Two-dollar coin","Canada, 1990s"
"robot","Traffic light","South Africa, 20th century"
"jugaad","A clever hack or improvisation","India, Hindi"
"glow-up","A positive transformation","Internet culture, 2010s"
"big yikes","Major embarrassment","Internet culture, 2010s"
"choice","Awesome or great","New Zealand, 20th century"
"cheeky","Playfully bold","UK, 19th century"
"chocka","Very full","Australia/New Zealand, 20th century"
"double-double","Coffee with two creams, two sugars","Canada, Tim Hortons culture"
"lank","Very or a lot","South Africa, Afrikaans influence"
"preppy","Relating to elite school style","USA, 20th century"
"povo","Poor or cheap","Australia, 1990s"
"scoff","To eat quickly","UK, 19th century"
"bants","Short for banter","UK, 2010s"
"devo","Devastated or disappointed","Australia, 1990s"
"gutted","Very disappointed","UK, 20th century"
"mate","Friend","UK/Australia, 19th century"
"munted","Broken or messed up","New Zealand, 1990s"
